Override Genre
Travel & Architecture ▾
Portfolio Category
auto ▾
If you choose a different genre than the model assigned, PhotoCat automatically marks the original decision as wrong and keeps your override active.

This item still needs a portfolio mapping decision. Without an override it will stay excluded from the portfolio export.

[Device] Windows AMD64 | PyTorch 2.5.1+cu124
[Device] GPU: NVIDIA GeForce RTX 3060 Ti | VRAM: 8191 MB total, ~8191 MB free
[Device] Compute: CUDA
Input: F:\Disco2 PORTFOLIO\WebSIte\lr
Cache: F:\Disco2 PORTFOLIO\WebSIte\lr\.photocat_cache
Found 274 image(s). write-xmp=False, workers=1
[131/274] [cache] test2024-131.jpg: Genre=Branding & Portrait (conf=0.79, status=review, 3ms)
[132/274] [cache] test2024-132.jpg: Genre=Branding & Portrait (conf=0.95, status=auto, 3ms)
[133/274] [cache] test2024-133.jpg: Genre=Branding & Portrait (conf=0.89, status=auto, 3ms)
[134/274] [cache] test2024-134.jpg: Genre=Branding & Portrait (conf=0.92, status=auto, 3ms)
[135/274] [cache] test2024-135.jpg: Genre=Events & Music (conf=0.52, status=review, 3ms)
[136/274] [cache] test2024-136.jpg: Genre=Branding & Portrait (conf=0.95, status=auto, 4ms)
[137/274] [cache] test2024-137.jpg: Genre=Branding & Portrait (conf=0.65, status=review, 4ms)
[138/274] [cache] test2024-138.jpg: Genre=Branding & Portrait (conf=0.92, status=auto, 5ms)
[139/274] [cache] test2024-139.jpg: Genre=Branding & Portrait (conf=0.95, status=auto, 6ms)
[140/274] [cache] test2024-140.jpg: Genre=Branding & Portrait (conf=0.95, status=auto, 5ms)
[141/274] [cache] test2024-141.jpg: Genre=Branding & Portrait (conf=0.95, status=auto, 3ms)
[142/274] [cache] test2024-142.jpg: Genre=Branding & Portrait (conf=0.95, status=auto, 4ms)
[143/274] [cache] test2024-143.jpg: Genre=Branding & Portrait (conf=0.95, status=auto, 3ms)
[144/274] [cache] test2024-144.jpg: Genre=Branding & Portrait (conf=0.65, status=review, 4ms)
[145/274] [cache] test2024-145.jpg: Genre=Food & Product (conf=0.49, status=review, 3ms)
